/content/tts-engine/gdrive/My Drive/wavs/001001.wav|be nAm xodAvand baxSande baxSAyeSgar
/content/tts-engine/gdrive/My Drive/wavs/025046.wav|sepas An rA Aheste jam? mikanim va nezAm sAye va AftAb rA hAkem misAzim
/content/tts-engine/gdrive/My Drive/wavs/025047.wav|u kasi est ke Sab rA barAy SomA lebAs qarAr dAd va xAb rA mAye esterAhat va ruz rA vasile harkat va hayAt
/content/tts-engine/gdrive/My Drive/wavs/025048.wav|u kasi est ke bAdhA rA beSAratgarAni piS az rahmataS ferestAd va az AsemAn Abi pAkkkonande nAzel kardim
/content/tts-engine/gdrive/My Drive/wavs/025049.wav|tA busile An sarzamin mordei rA zende kanim va An rA be maxluqAti ke Afarideim CAhAr_pAyAn va ensAnhAy besyAr minuSAnim
/content/tts-engine/gdrive/My Drive/wavs/025050.wav|mA in AyAt rA besorathAye gunAgun barAy AnAn bayAn kardim tA motezaker Savand vali biStar mardom az har kAri joz enkAr va kafar ebA dArand
/content/tts-engine/gdrive/My Drive/wavs/025051.wav|va agar mixAstim dar har Sahr va diyAri bimdahandei barmiAngixtim vali in kAr lozumi nadASt
/content/tts-engine/gdrive/My Drive/wavs/025052.wav|banAbar in az kAfarAn etA?at makan va busile An qorAn bA AnAn jahAd bozorgi benamA
/content/tts-engine/gdrive/My Drive/wavs/025053.wav|u kasi est ke do daryA rA dar kenAr ham qarAr dAd yeki govArA va Sirin va digar Sur va talx va dar miyAn AnhA barzaxi qarAr dAd tA bA ham maxlut naSavand guyi har yek be digari miguyad dur bAS va nazdike niyA
/content/tts-engine/gdrive/My Drive/wavs/025054.wav|u kasi est ke az Ab ensAni rA Afarid sepas u rA nasab va sabab qarAr dAd va nasl u rA az in do tariq gostareS dAd va parvardegAr to hamvAre tavAnA bude est
/content/tts-engine/gdrive/My Drive/wavs/025055.wav|AnAn joz xodA CizhAyi rA miparastand ke noh be AnAn sudi miresAnad va noh ziyAni va kAfarAn hamiSe dar barAbar parvardegArSAn dar tariq kafar poStibAn yekdigarand
/content/tts-engine/gdrive/My Drive/wavs/025056.wav|ey payAmbar mA to rA joz be_?onvAne beSArat dahande va anzAr konande naferestAdim
/content/tts-engine/gdrive/My Drive/wavs/025057.wav|begu man dar barAbar An eblAq Ayin xodA hiC gune pAdASi az SomA nemitalabam magar kasi ke bexAhad rAhi besuye parvardegAreS bargozinad in pAdAS man est
/content/tts-engine/gdrive/My Drive/wavs/025058.wav|va tavakol kan bor An zendei ke hargez nemimirad va tasbih va hamd u rA bejA Avar va hamin bas ke u az gonAhAn bandegAneS AgAh est
/content/tts-engine/gdrive/My Drive/wavs/025059.wav|hamAn xodAyi ke AsmAnhA va zamin va AnCe rA miyAn in do vojud dArad dar SeS ruz SeS durAn Afarid sepas bor arS qodrat qarAr gereft va be tadbir jahAn pardAxt u xodAvand rahmAn est az u bexAh ke az hame Ciz AgAh est
/content/tts-engine/gdrive/My Drive/wavs/025060.wav|va hengAmi ke be AnAn gofte Savad barAy xodAvand rahmAn sajde kanid miguyandarhamAn Cist mA aslan
/content/tts-engine/gdrive/My Drive/wavs/025061.wav|jAvdAn va porbarkat est An xodAyi ke dar AsemAn monzalgAhi barAy setAregAn qarAr dAd va dar miyAn An CerAq roSan va mAh tAbAni Afarid
/content/tts-engine/gdrive/My Drive/wavs/025062.wav|va u hamAn kasi est ke Sab va ruz rA jAneSin yekdigar qarAr dAd barAy kasi ke bexAhad motezaker Savad yA SokrgozAri konad va AnCe rA dar ruz kutAhi karde dar Sab anjAm dahad va be aks
/content/tts-engine/gdrive/My Drive/wavs/025063.wav|bandegAn xAs xodAvand rahmAn kasAni hastand ke bA ArAmeS va bitakbor bor zamin rAh miravand va hengAmi ke jAhelAn AnhA rA moxAtab sAzand va soxanAn nAbexradAne guyand be AnhA salAm miguyand va bA bi?e?tenAyi va bozorgvAri migozarand
/content/tts-engine/gdrive/My Drive/wavs/025064.wav|kasAni ke SabAngAh barAy parvardegArSAn sajde va qiyAm mikanand
/content/tts-engine/gdrive/My Drive/wavs/025065.wav|va kasAni ke miguyand parvardegArA azAb jahanam rA az mA bartaraf gardAn ke azAbeS saxt va por davAm est
/content/tts-engine/gdrive/My Drive/wavs/025066.wav|mosalaman
/content/tts-engine/gdrive/My Drive/wavs/025067.wav|va kasAni ke hargAh anfAq konand noh esrAf minamAyand va noh saxtgiri balke dar miyAn in do had e?tedAli dArand
/content/tts-engine/gdrive/My Drive/wavs/025068.wav|va kasAni ke ma?bud digari rA bA xodAvand nemixAnand va ensAni rA ke xodAvand xuneS rA harAm Somorde joz behaq nemikeSand va zenA nemikanand va har kas Cenin konad mojAzAt saxti xAhad did
/content/tts-engine/gdrive/My Drive/wavs/025069.wav|azAb u dar qiyAmat mozA?af migardad va hamiSe bA xAri dar An xAhad mAnd
/content/tts-engine/gdrive/My Drive/wavs/025070.wav|magar kasAni ke tobe konand va imAn Avarand va amal sAleh anjAm dahand ke xodAvand gonAhAn AnAn rA be hasanAt mobdel mikand va xodAvand hamvAre Amorzande va mehrbAn bude est
/content/tts-engine/gdrive/My Drive/wavs/025071.wav|va kasi ke tobe konad va amal sAleh anjAm dahad besuye xodA bAzgaSt mikand va pAdAS xod rA az u migirad
/content/tts-engine/gdrive/My Drive/wavs/025072.wav|va kasAni ke SahAdat be bAtel nemidahand va dar majAles bAtel Serkat nemikanand va hengAmi ke bA loqu va bihudegi barxord konand bozorgvArAne az An migozarand
/content/tts-engine/gdrive/My Drive/wavs/025073.wav|va kasAni ke hargAh AyAt parvardegArSAn be AnAn guSzad Savad ker va kur ruy An nemi oftand
/content/tts-engine/gdrive/My Drive/wavs/025074.wav|va kasAni ke miguyand parvardegArA az hamsarAn va farzandAnemAn mAye roSani CeSm mA qarArde va mA rA barAy parhizgArAn piSvA gardAn
/content/tts-engine/gdrive/My Drive/wavs/025075.wav|Ari AnhA hastand ke darajAt Ali beheSt dar barAbar SakibAyiSAn be AnAn pAdAS dAde miSavad va dar An bA tahiyat va salAm ruberu miSavand
/content/tts-engine/gdrive/My Drive/wavs/025076.wav|dar hAli ke jAvdAne dar An xAhand mAnd Ce qarArgAh va mahal eqAmat xubi
/content/tts-engine/gdrive/My Drive/wavs/025077.wav|begu parvardegAram barAy SomA arji qA?el nist agar do?Ay SomA nabASad SomA AyAt xodA va payAmbarAn rA takzib kardid va in amal dAmAn SomA rA xAhad gereft va az SomA jedA naxAhad Sadz
/content/tts-engine/gdrive/My Drive/wavs/026001.wav|tasm
/content/tts-engine/gdrive/My Drive/wavs/026002.wav|in AyAt ketAb roSangar est
/content/tts-engine/gdrive/My Drive/wavs/026003.wav|guyi mixAhi jAn xod rA az Sedat anduh az dast dahi bexAtere inke AnhA imAn nemiAvarand
/content/tts-engine/gdrive/My Drive/wavs/026004.wav|agar mA erAde kanim az AsemAn bor AnAn Aye?Ay nAzel mikanim ke gerdnahAyeSAn dar barAbar An xAze? gardad
/content/tts-engine/gdrive/My Drive/wavs/026005.wav|va hiC zekr tAzei az suy xodAvand mehrbAn barAy AnhA nemiAyad magar inke az An ruygardAn miSavand
/content/tts-engine/gdrive/My Drive/wavs/026006.wav|AnAn takzib kardand amA bezudi axbAr keyfar AnCe rA estehzA mikardand be AnAn mirasad
/content/tts-engine/gdrive/My Drive/wavs/026007.wav|AyA AnAn be zamin negAh nakardand ke Ceqadr az anvA? giyAhAn por_?arzeS dar An ruyAndim
/content/tts-engine/gdrive/My Drive/wavs/026008.wav|dar in neSAne roSani est bor vojud xodA vali biStarSAn hargez mo?men nabudeand
/content/tts-engine/gdrive/My Drive/wavs/026009.wav|va parvardegAr to aziz va rahim est
/content/tts-engine/gdrive/My Drive/wavs/026010.wav|be xAter biyAvar hengAmi rA ke parvardegArt musA rA nadA dAd ke be sorAq qom setamgar beru
/content/tts-engine/gdrive/My Drive/wavs/026011.wav|qom far?un AyA AnAn az moxAlefat farmAn parvardegAr parhiz nemikanand
/content/tts-engine/gdrive/My Drive/wavs/026012.wav|musA arz kord parvardegArA az An bim dAram ke marA takzib konand
/content/tts-engine/gdrive/My Drive/wavs/026013.wav|va sineam tang Savad va zabAnam beqadre kAfi guyA nist barAdaram hArun rA niz resAlat deh tA marA yAri konad
/content/tts-engine/gdrive/My Drive/wavs/026014.wav|va AnAn be e?teqAd xodeSAn bor gardan man gonAhi dArand mitarsam marA bekeSand va in resAlat be pAyAn narasad
/content/tts-engine/gdrive/My Drive/wavs/026015.wav|farmud Cenin nist AnAn kAri nemitavAnand anjAm dahand SomA har do bA AyAt mA barAy hedAyatSAn beruyad mA bA SomA hastim va soxanAntAn rA miSenavim
/content/tts-engine/gdrive/My Drive/wavs/026016.wav|be sorAq far?un beruyad va beguyid mA ferestAde parvardegAr jahAniyAn hastim
/content/tts-engine/gdrive/My Drive/wavs/026017.wav|bani esrA?il rA bA mA beferest AnhA be sorAq far?un Amadand
/content/tts-engine/gdrive/My Drive/wavs/026018.wav|far?un goft AyA mA to rA dar kudaki dar miyAn xod parvareS nadAdim va sAlhAyi az zendegit rA dar miyAn mA nabudi
/content/tts-engine/gdrive/My Drive/wavs/026019.wav|va sar_?anjAm An kArt rA ke nemibAyest anjAm dahi anjAm dAdi va yek nafar az mA rA koSti va to az nAsepAsAni
/content/tts-engine/gdrive/My Drive/wavs/026020.wav|musA goft man An kAr rA anjAm dAdam dar hAli ke az bixabarAn budam
/content/tts-engine/gdrive/My Drive/wavs/026021.wav|pas hengAmi ke az SomA tarsidam farAr kardam va parvardegAram be man hekmat va dAneS baxSid va marA az payAmbarAn qarAr dAd
/content/tts-engine/gdrive/My Drive/wavs/026022.wav|AyA in menati est ke to bor man migozAri ke bani esrA?il rA borde xod sAxtei
/content/tts-engine/gdrive/My Drive/wavs/026023.wav|far?un goft parvardegAr AlamiyAn Cist
/content/tts-engine/gdrive/My Drive/wavs/026024.wav|musA goft parvardegAr AsmAnhA va zamin va AnCe miyAn An do est agar ahl yaqin hastid
/content/tts-engine/gdrive/My Drive/wavs/026025.wav|far?un be atrAfyAneS goft AyA nemiSenavid in mord Ce miguyad
/content/tts-engine/gdrive/My Drive/wavs/026026.wav|musA goft u parvardegAr SomA va parvardegAr niyAkAn SemAsat
/content/tts-engine/gdrive/My Drive/wavs/026027.wav|far?un goft payAmbari ke besuye SomA ferestAde Sode mosalaman
/content/tts-engine/gdrive/My Drive/wavs/026028.wav|musA goft u parvardegAr maSreq va maqreb va AnCe miyAn An do est mibASad agar SomA aql va andiSe xod rA be kAr migereftid
/content/tts-engine/gdrive/My Drive/wavs/026029.wav|far?un xaSmgin Sod va goft agar ma?budi qeyr az man bargozini to rA az zendAniyAn qarAr xAham dAd
/content/tts-engine/gdrive/My Drive/wavs/026030.wav|musA goft hatA agar neSAne ASkAri barAy to biyAvaram bAz imAn nemiAvari
/content/tts-engine/gdrive/My Drive/wavs/026031.wav|goft agar rAst miguyi An rA biyAvar
/content/tts-engine/gdrive/My Drive/wavs/026032.wav|dar in hengAm musA asAy xod rA Afkanad va nAgahAn mAr azim va ASkAri Sod
/content/tts-engine/gdrive/My Drive/wavs/026033.wav|va dast xod rA dar garibAn foru bord va birun Avarad va dar barAbar binandegAn sefid va roSan bud
/content/tts-engine/gdrive/My Drive/wavs/026034.wav|far?un be goruhi ke atrAf u budand goft in sAher AgAh va mAheri est
/content/tts-engine/gdrive/My Drive/wavs/026035.wav|u mixAhad bA sahareS SomA rA az sarzamintAn birun konad SomA Ce nazar midahid
/content/tts-engine/gdrive/My Drive/wavs/026036.wav|goftand u va barAdareS rA mohlat deh va ma?murAn rA barAy basij be tamAm SahrehA e?zAm kan
/content/tts-engine/gdrive/My Drive/wavs/026037.wav|tA har sAher mAher va dAnAyi rA nazd to Avarand
/content/tts-engine/gdrive/My Drive/wavs/026038.wav|sar_?anjAm sAherAn barAy va?degAh ruz mo?ini jam?Avari Sodand
/content/tts-engine/gdrive/My Drive/wavs/026039.wav|va be mardom gofte Sod AyA SomA niz dar in sahne ejtemA? mikanid
/content/tts-engine/gdrive/My Drive/wavs/026040.wav|tA agar sAherAn piruz Savand az AnAn peyravi kanim
/content/tts-engine/gdrive/My Drive/wavs/026041.wav|hengAmi ke sAherAn Amadand be far?un goftand AyA agar mA piruz Savim pAdAS mohmi xAhim dASt
/content/tts-engine/gdrive/My Drive/wavs/026042.wav|goft Ari va dar An surat SomA az moqarabAn xAhid bud
/content/tts-engine/gdrive/My Drive/wavs/026043.wav|ruz mo?ud ferA rasid va hamegi jam? Sodand musA be sAherAn goft AnCe rA mixAhid biyAfkanid biyAfkanid
/content/tts-engine/gdrive/My Drive/wavs/026044.wav|AnhA tanAbahA va asAhAye xod rA Afkandand va goftand be ezat far?un mA qat?an
/content/tts-engine/gdrive/My Drive/wavs/026045.wav|sepas musA asAyeS rA Afkanad nAgahAn tamAm vasA?el doruqin AnhA rA bal?id
/content/tts-engine/gdrive/My Drive/wavs/026046.wav|foran
/content/tts-engine/gdrive/My Drive/wavs/026047.wav|goftand mA be parvardegAr AlamiyAn imAn Avardim
/content/tts-engine/gdrive/My Drive/wavs/026048.wav|parvardegAr musA va hArun
/content/tts-engine/gdrive/My Drive/wavs/026049.wav|far?un goft AyA piS az inke be SomA ejAze daham be u imAn Avardid mosalaman
/content/tts-engine/gdrive/My Drive/wavs/026050.wav|goftand mohem nist har kAri az dastat sAxte est bekon mA besuye parvardegArmAn bAzmigardim
/content/tts-engine/gdrive/My Drive/wavs/026051.wav|mA omidvArim ke parvardegArmAn xatAhAye mA rA bebaxSad CarA ke mA noxostin imAnAvarandegAn budim
/content/tts-engine/gdrive/My Drive/wavs/026052.wav|va be musA vahi kardim ke SabAne bandegAnam rA az mesr kuC deh zirA SomA mored ta?qib hastid
/content/tts-engine/gdrive/My Drive/wavs/026053.wav|far?un az in mAjerA AgAh Sod va ma?murAn basij niru rA be SahrehA ferestAd
/content/tts-engine/gdrive/My Drive/wavs/026054.wav|va goft inhA mosalaman
/content/tts-engine/gdrive/My Drive/wavs/026055.wav|va inhA mA rA be xaSam Avardeand
/content/tts-engine/gdrive/My Drive/wavs/026056.wav|va mA hamegi AmAde peykArim
/content/tts-engine/gdrive/My Drive/wavs/026057.wav|sar_?anjAm far?uniyAn maqlub Sodand va mA AnhA rA az bAqhA va CeSmehA birun rAndim
/content/tts-engine/gdrive/My Drive/wavs/026058.wav|va az ganjhA va qasrahAye mojallal
/content/tts-engine/gdrive/My Drive/wavs/026059.wav|Ari inCenin kardim va bani esrA?il rA vAres AnhA sAxtim
/content/tts-engine/gdrive/My Drive/wavs/026060.wav|AnAn be ta?qib bani esrA?il pardAxtand va be hengAm tolu? AftAb be AnhA rasidand
/content/tts-engine/gdrive/My Drive/wavs/026061.wav|hengAmi ke do goruh yekdigar rA didand yArAn musA goftand mA dar CangAl far?uniyAn gereftAr Sodim
/content/tts-engine/gdrive/My Drive/wavs/026062.wav|musA goft Cenin nist yaqinan
/content/tts-engine/gdrive/My Drive/wavs/026063.wav|va bedonbAle An be musA vahi kardim esAyat rA be daryA bezan asAyeS rA be daryA zad va daryA az ham SekAfte Sod va har baxSi hamCon kuh azimi bud
/content/tts-engine/gdrive/My Drive/wavs/026064.wav|va dar AnjA digarAn laSkar far?un rA niz be daryA nazdike sAxtim
/content/tts-engine/gdrive/My Drive/wavs/026065.wav|va musA va tamAm kasAni rA ke bA u budand nejAt dAdim
/content/tts-engine/gdrive/My Drive/wavs/026066.wav|sepas digarAn rA qarq kardim
/content/tts-engine/gdrive/My Drive/wavs/026067.wav|dar in jaryAn neSAne roSani est vali biStarSAn imAn nayAvardand CarA ke tAleb haq nabudand
/content/tts-engine/gdrive/My Drive/wavs/026068.wav|va parvardegArt SekastnApazir va mehrbAn est
/content/tts-engine/gdrive/My Drive/wavs/026069.wav|va bor AnAn xabar ebrAhim rA bexAn
/content/tts-engine/gdrive/My Drive/wavs/026070.wav|hengAmi ke be pedar va qumeS goft Ce Ciz rA miparastid
/content/tts-engine/gdrive/My Drive/wavs/026071.wav|goftand betahAyi rA miparastim va hame ruz molAzem ebAdat AnhAyim
/content/tts-engine/gdrive/My Drive/wavs/026072.wav|goft AyA hengAmi ke AnhA rA mixAnid sadAy SomA rA miSenavand
/content/tts-engine/gdrive/My Drive/wavs/026073.wav|yA sud va ziyAni be SomA miresAnand
/content/tts-engine/gdrive/My Drive/wavs/026074.wav|goftand mA faqat niyAkAn xod rA yAftim ke Cenin mikanand
/content/tts-engine/gdrive/My Drive/wavs/026075.wav|goft AyA didid in CizhAyi rA ke peyvaste parasteS mikardid
/content/tts-engine/gdrive/My Drive/wavs/026076.wav|SomA va pedarAn piSin SomA
/content/tts-engine/gdrive/My Drive/wavs/026077.wav|hame AnhA doSman man hastand va man doSman AnhA magar parvardegAr AlamiyAn
/content/tts-engine/gdrive/My Drive/wavs/026078.wav|hamAn kasi ke marA Afarid va peyvaste rAhnamA?im mikand
/content/tts-engine/gdrive/My Drive/wavs/026079.wav|va kasi ke marA qazA midahad va sirAb minamAyad
/content/tts-engine/gdrive/My Drive/wavs/026080.wav|va hengAmi ke bimAr Savam marA SafA midahad
/content/tts-engine/gdrive/My Drive/wavs/026081.wav|va kasi ke marA mimirAnad va sepas zende mikand
/content/tts-engine/gdrive/My Drive/wavs/026082.wav|va kasi ke omid dAram gonAham rA dar ruz jozA bebaxSad
/content/tts-engine/gdrive/My Drive/wavs/026083.wav|parvardegArA be man elm va dAneS bebaxS va marA be sAlehAn molhaq kan
/content/tts-engine/gdrive/My Drive/wavs/026084.wav|va barAy man dar miyAn emtehAy Ayande zabAn sedq va zekr xeyri qarAr deh
/content/tts-engine/gdrive/My Drive/wavs/026085.wav|va marA vAresAn beheSt porne?mat gardAn
/content/tts-engine/gdrive/My Drive/wavs/026086.wav|va pedaram amvim rA biyAmorz ke u az gomrAhAn bud
/content/tts-engine/gdrive/My Drive/wavs/026087.wav|va dar An ruz ke mardom barAngixte miSavand marA Sarmande va rosvA makan
/content/tts-engine/gdrive/My Drive/wavs/026088.wav|dar An ruz ke mAl va farzandAn sudi nemibaxSad
/content/tts-engine/gdrive/My Drive/wavs/026089.wav|magar kasi ke bA qalb salim be piSgAh xodA Ayad
/content/tts-engine/gdrive/My Drive/wavs/026090.wav|dar An ruz beheSt barAy parhizkArAn nazdike miSavad
/content/tts-engine/gdrive/My Drive/wavs/026091.wav|va duzax barAy gomrAhAn ASkAr migardad
/content/tts-engine/gdrive/My Drive/wavs/026092.wav|va be AnAn gofte miSavad kojA hastand ma?budAni ke AnhA rA parasteS mikardid
/content/tts-engine/gdrive/My Drive/wavs/026093.wav|ma?budhAyi qeyr az xodA AyA AnhA SomA rA yAri mikanand yA kasi be yAri AnhA miAyad
/content/tts-engine/gdrive/My Drive/wavs/026094.wav|dar An hengAm hame An ma?budAn bA AbedAn gomrAh be duzax Afkande miSavand
/content/tts-engine/gdrive/My Drive/wavs/026095.wav|va hamCenin hamegi laSkaryAn eblis
/content/tts-engine/gdrive/My Drive/wavs/026096.wav|AnhA dar AnjA dar hAli ke be moxAseme barxAsteand miguyand
/content/tts-engine/gdrive/My Drive/wavs/026097.wav|be xodA sogand ke mA dar gomrAhi ASkAri budim
/content/tts-engine/gdrive/My Drive/wavs/026098.wav|Con SomA rA bA parvardegAr AlamiyAn barAbar miSomordim
/content/tts-engine/gdrive/My Drive/wavs/026099.wav|amA kasi joz mojremAn mA rA gomrAh nakard
/content/tts-engine/gdrive/My Drive/wavs/026100.wav|afsus ke emruz SafA?atkonandegAni barAy mA vojud nadArad
/content/tts-engine/gdrive/My Drive/wavs/026101.wav|va noh dust garm va pormohabati
/content/tts-engine/gdrive/My Drive/wavs/026102.wav|ey kAS bAr digar be donyA bAzgardim va az mo?menAn bASim
/content/tts-engine/gdrive/My Drive/wavs/026103.wav|dar in mAjerA neSAne va ebrati est vali biStar AnAn mo?men nabudand
/content/tts-engine/gdrive/My Drive/wavs/026104.wav|va parvardegAr to aziz va rahim est
/content/tts-engine/gdrive/My Drive/wavs/026105.wav|qom nuh rasulAn rA takzib kardand
/content/tts-engine/gdrive/My Drive/wavs/026106.wav|hengAmi ke barAdarSAn nuh be AnAn goft AyA taqvA piSe nemikanid
/content/tts-engine/gdrive/My Drive/wavs/026107.wav|mosalaman
/content/tts-engine/gdrive/My Drive/wavs/026108.wav|taqvAy elAhi piSe kanid va marA etA?at namAyid
/content/tts-engine/gdrive/My Drive/wavs/026109.wav|man barAy in da?vat hiC mozdi az SomA nemitalabam ajr man tanahA bor parvardegAr AlamiyAn est
/content/tts-engine/gdrive/My Drive/wavs/026110.wav|pas taqvAy elAhi piSe kanid va marA etA?at namAyid
/content/tts-engine/gdrive/My Drive/wavs/026111.wav|goftand AyA mA be to imAn biyAvarim dar hAli ke efrAd post va bi?arzeS az to peyravi kardeand
/content/tts-engine/gdrive/My Drive/wavs/026112.wav|nuh goft man Ce midAnam AnhA Ce kAri dASteand
/content/tts-engine/gdrive/My Drive/wavs/026113.wav|hesAb AnhA tanahA bA parvardegAr man est agar SomA mifahmidid
/content/tts-engine/gdrive/My Drive/wavs/026114.wav|va man hargez mo?menAn rA tard naxAham kord
/content/tts-engine/gdrive/My Drive/wavs/026115.wav|man tanahA enzArkonandei ASkAram
/content/tts-engine/gdrive/My Drive/wavs/026116.wav|goftand ey nuh agar az harfahAyat dast barnadAri sangbArAn xAhi Sod
/content/tts-engine/gdrive/My Drive/wavs/026117.wav|goft parvardegArA qom man marA takzib kardand
/content/tts-engine/gdrive/My Drive/wavs/026118.wav|aknun miyAn man va AnhA jodAyi biyAfkan va marA va mo?menAni rA ke bA man hastand rahAyi baxS
/content/tts-engine/gdrive/My Drive/wavs/026119.wav|mA u va kasAni rA ke bA u budand dar An koSti ke por az ensAn va anvA? heyvAnAt bud rahAyi baxSidim
/content/tts-engine/gdrive/My Drive/wavs/026120.wav|sepas baqiye rA qarq kardim
/content/tts-engine/gdrive/My Drive/wavs/026121.wav|dar in mAjerA neSAne roSani est amA biStar AnAn mo?men nabudand
/content/tts-engine/gdrive/My Drive/wavs/026122.wav|va parvardegAr to aziz va rahim est
/content/tts-engine/gdrive/My Drive/wavs/026123.wav|qom Ad niz rasulAn xodA rA takzib kardand
/content/tts-engine/gdrive/My Drive/wavs/026124.wav|hengAmi ke barAdarSAn hud goft AyA taqvA piSe nemikanid
/content/tts-engine/gdrive/My Drive/wavs/026125.wav|mosalaman
/content/tts-engine/gdrive/My Drive/wavs/026126.wav|pas taqvAy elAhi piSe kanid va marA etA?at namAyid
/content/tts-engine/gdrive/My Drive/wavs/026127.wav|man dar barAbar in da?vat hiC ajr va pAdASi az SomA nemitalabam ajr va pAdAS man tanahA bor parvardegAr AlamiyAn est
/content/tts-engine/gdrive/My Drive/wavs/026128.wav|AyA SomA bor har makAn mortafa?i neSAnei az ruy havA va havas misAzid
/content/tts-engine/gdrive/My Drive/wavs/026129.wav|va qasrahA va qal?ehAy zibA va mohkam banA mikanid SAyad dar donyA jAvdAne bemAnid
/content/tts-engine/gdrive/My Drive/wavs/026130.wav|va hengAmi ke kasi rA mojAzAt mikanid hamCon jabArAn keyfar midahid
/content/tts-engine/gdrive/My Drive/wavs/026131.wav|pas taqvAy elAhi piSe kanid va marA etA?at namAyid
/content/tts-engine/gdrive/My Drive/wavs/026132.wav|va az nAfarmAni xodAyi beparhizid ke SomA rA be ne?mathAyi ke midAnid emdAd karde
/content/tts-engine/gdrive/My Drive/wavs/026133.wav|SomA rA be CAhAr_pAyAn va niz pesarAn lAyeq va berumand emdAd farmude
/content/tts-engine/gdrive/My Drive/wavs/026134.wav|hamCenin be bAqhA va CeSmehA
/content/tts-engine/gdrive/My Drive/wavs/026135.wav|agar kafarAn kanid man bor SomA az azAb ruzi bozorg mitarsam
/content/tts-engine/gdrive/My Drive/wavs/026136.wav|AnhA qom Ad goftand barAy mA tafAvot nemikanad Ce mA rA anzAr kani yA nakoni bihude xod rA xaste makan
/content/tts-engine/gdrive/My Drive/wavs/026137.wav|in hamAn raveS va afsAnehAye piSiniyAn est
/content/tts-engine/gdrive/My Drive/wavs/026138.wav|va mA hargez mojAzAt naxAhim Sod
/content/tts-engine/gdrive/My Drive/wavs/026139.wav|AnAn hud rA takzib kardand mA ham nAbudSAn kardim va dar in Ayat va neSAnei est barAy AgAhAn vali biStar AnAn mo?men nabudand
/content/tts-engine/gdrive/My Drive/wavs/026140.wav|va parvardegAr to aziz va rahim est
/content/tts-engine/gdrive/My Drive/wavs/026141.wav|qom somud rasulAn xodA rA takzib kardand
/content/tts-engine/gdrive/My Drive/wavs/026142.wav|hengAmi ke sAleh be AnAn goft AyA taqvA piSe nemikanid
/content/tts-engine/gdrive/My Drive/wavs/026143.wav|man barAy SomA payAmbari amin hastam
/content/tts-engine/gdrive/My Drive/wavs/026144.wav|pas taqvAy elAhi piSe kanid va marA etA?at namAyid
/content/tts-engine/gdrive/My Drive/wavs/026145.wav|man dar barAbar in da?vat ajr va pAdASi az SomA nemitalabam ajr man tanahA bor parvardegAr AlamiyAn est
/content/tts-engine/gdrive/My Drive/wavs/026146.wav|AyA SomA tasavor mikanid hamiSe dar nahAyat amniyat dar ne?mathAyi ke injAst mimAnid
/content/tts-engine/gdrive/My Drive/wavs/026147.wav|dar in bAqhA va CeSmehA
/content/tts-engine/gdrive/My Drive/wavs/026148.wav|dar in zerA?thA va naxlahAyi ke mivehAyeS Sirin va raside est
/content/tts-engine/gdrive/My Drive/wavs/026149.wav|va az kuhA xAnehAyi mitarASid va dar An be eyS va nuS mipardAzid
/content/tts-engine/gdrive/My Drive/wavs/026150.wav|pas az xodA betarsid va marA etA?at kanid
/content/tts-engine/gdrive/My Drive/wavs/026151.wav|va farmAn mosrefAn rA etA?at nakanid
/content/tts-engine/gdrive/My Drive/wavs/026152.wav|hamAnhA ke dar zamin fesAd mikanand va eslAh nemikanand
/content/tts-engine/gdrive/My Drive/wavs/026153.wav|goftand ey sAleh to az afsun SodegAni va aql xod rA az dast dAdei
/content/tts-engine/gdrive/My Drive/wavs/026154.wav|to faqat baSari hamCon mAyi agar rAst miguyi Ayat va neSAnei biyAvar
/content/tts-engine/gdrive/My Drive/wavs/026155.wav|goft in nAqei est ke Ayat elAhi est barAy u sahmi az Ab qarye va barAy SomA sahm ruz mo?ini est
/content/tts-engine/gdrive/My Drive/wavs/026156.wav|kamtarin AzAri be An naresAnid ke azAb ruzi bozorg SomA rA ferA xAhad gereft
/content/tts-engine/gdrive/My Drive/wavs/026157.wav|sar_?anjAm bor An nAqe hamle nomude An rA pey kardand va holAk nomudand sepas az karde xod paSimAn Sodand
/content/tts-engine/gdrive/My Drive/wavs/026158.wav|va azAb elAhi AnAn rA ferA gereft dar in Ayat va neSAnei est vali biStar AnAn mo?men nabudand
/content/tts-engine/gdrive/My Drive/wavs/026159.wav|va parvardegAr to aziz va rahim est
/content/tts-engine/gdrive/My Drive/wavs/026160.wav|qom lut ferestAdegAn xodA rA takzib kardand
/content/tts-engine/gdrive/My Drive/wavs/026161.wav|hengAmi ke barAdarSAn lut be AnAn goft AyA taqvA piSe nemikanid
/content/tts-engine/gdrive/My Drive/wavs/026162.wav|man barAy SomA payAmbari amin hastam
/content/tts-engine/gdrive/My Drive/wavs/026163.wav|pas taqvAy elAhi piSe kanid va marA etA?at namAyid
/content/tts-engine/gdrive/My Drive/wavs/026164.wav|man dar barAbar in da?vat ajri az SomA nemitalabam ajr man faqat bor parvardegAr AlamiyAn est
/content/tts-engine/gdrive/My Drive/wavs/026165.wav|AyA dar miyAn jahAniyAn SomA be sorAq jens zokur miruyad va hamjens bAzi mikanid AyA in zeSt va nangin nist
/content/tts-engine/gdrive/My Drive/wavs/026166.wav|va hamsarAni rA ke parvardegArtAn barAy SomA Afaride est rahA mikanid haqan
